Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Aéreos_Ganhos,Defesas,Gols_Evitados,Saídas,Interceptações.1,xG_Evitado,Finalizações_por_Gol_Sofrido,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Diogo Silva,Paysandu,Paysandu,GK,GK,0,38,150000,2024-11-30,19,1956,Brazil,Brazil,right,192,81,no,0.32375,70.24,0.123,1.15,1.52,0.09448818897637801,3.365217391304348,BRA2,Testing,2024,0.4895161425363579,0.4760058763814652,0.483
1,Matheus Cavichioli,Chapecoense,Chapecoense,GK,GK,0,38,100000,2024-11-30,20,1945,Brazil,"Brazil, Italy",right,192,103,no,0.3733379999999999,80.0,0.142,2.41,2.27,0.153061224489796,5.012048192771084,BRA2,Testing,2024,0.8993976566265403,0.8286751676211634,0.864
2,Matheus Nogueira,Brusque,Brusque,GK,GK,0,38,100000,2024-11-30,34,3410,Brazil,Brazil,right,190,84,no,0.636939,74.5,0.037,2.22,1.29,0.03846153846153855,3.93,BRA2,Testing,2024,0.9130910022758139,0.9011343409933457,0.907
3,João Carlos,Botafogo SP,Botafogo SP,GK,GK,0,36,100000,2024-11-30,22,2222,Brazil,Brazil,right,191,92,no,0.4484860000000001,71.26,-0.037,1.5,2.35,-0.03061224489795911,3.485148514851485,BRA2,Testing,2024,0.6412906208773221,0.6055193590268774,0.623
4,Rafael Santos,Operário PR,Operário PR,GK,GK,0,35,100000,2024-11-30,29,2931,Brazil,Brazil,right,191,82,no,0.225562,77.53,0.105,1.27,1.24,0.1351351351351351,4.421875,BRA2,Testing,2024,0.5792668269125105,0.5647666021576435,0.572
5,Vladimir,Guarani,Guarani,GK,GK,0,35,200000,2025-12-31,22,2210,Brazil,Brazil,right,191,93,yes,0.2,61.25,-0.342,0.9,0.69,-0.3695652173913042,2.587301587301587,BRA2,Testing,2024,0.0,0.0,0.0
6,Alex Muralha,Mirassol,Mirassol,GK,GK,0,34,200000,2024-12-31,32,3245,Brazil,Brazil,right,188,89,no,0.341547,81.15,-0.013,1.6,1.09,-0.03125,5.287878787878788,BRA2,Testing,2024,0.6743009991118375,0.6629176326256905,0.669
7,Léo Vieira,Chapecoense,Chapecoense,GK,GK,0,34,100000,2024-12-31,12,1219,Brazil,Brazil,right,193,83,no,0.59,76.79,0.104,2.36,1.4,0.09433962264150952,4.302083333333333,BRA2,Testing,2024,0.9509759710292129,0.9336962282931796,0.942
8,Richard,Ceará,Ceará,GK,GK,0,33,250000,2024-12-31,26,2533,Brazil,Brazil,right,186,83,no,0.43,70.83,-0.04,0.96,1.17,-0.04210526315789487,3.444444444444445,BRA2,Testing,2024,0.5340092968072796,0.4866737756304971,0.51
9,Pegorari,Guarani,Guarani,GK,GK,0,33,200000,2024-12-31,8,816,Brazil,Brazil,right,192,85,no,0.220011,68.97,0.208,0.88,1.21,0.1749999999999999,3.232323232323233,BRA2,Testing,2024,0.3634582594320364,0.3360687774134767,0.35
10,Jefferson Paulino,Ituano,Ituano,GK,GK,0,32,200000,2024-12-31,29,2898,Brazil,Brazil,right,185,71,no,0.09,67.55,-0.128,1.02,1.09,-0.09352517985611519,3.085526315789474,BRA2,Testing,2024,0.1644428314569659,0.1607155975433935,0.163
11,Tadeu,Goiás,Goiás,GK,GK,0,32,1500000,2026-12-31,34,3462,Brazil,Brazil,right,184,80,no,0.37881,75.57,0.037,1.37,1.2,0.03370786516853941,4.081395348837209,BRA2,Testing,2024,0.6547308243767678,0.628360086115496,0.642
12,Marcão,Amazonas,Amazonas,GK,GK,0,32,100000,2024-12-31,31,3151,Brazil,Brazil,right,195,89,no,0.396678,78.05,0.032,1.86,1.11,0.03749999999999998,4.558441558441558,BRA2,Testing,2024,0.7540974021781275,0.7376529884213858,0.746
13,Jordi,Grêmio Novorizontino,Grêmio Novorizontino,GK,GK,0,31,600000,2024-12-31,32,3195,Brazil,Brazil,right,192,92,no,0.651644,78.23,0.132,2.48,2.54,0.1460674157303371,4.592105263157895,BRA2,Testing,2024,1.0,1.0,1.0
14,Bruno Ferreira,Ceará,Ceará,GK,GK,0,30,200000,2025-06-30,10,945,Brazil,Brazil,right,197,90,no,0.38,72.5,-0.218,1.14,0.38,-0.2650602409638556,3.628571428571429,BRA2,Testing,2024,0.4463328439575726,0.3938657071377083,0.42
15,Matheus Albino,CRB,CRB,GK,GK,0,29,150000,2026-12-30,33,3343,Brazil,Brazil,left,187,85,no,0.5428679999999999,71.01,-0.068,2.15,1.48,-0.06930693069306937,3.444444444444444,BRA2,Testing,2024,0.6768099754502112,0.656098100998573,0.666
16,César Augusto,Avaí,Avaí,GK,GK,0,29,300000,2024-12-31,33,3295,Brazil,Brazil,right,192,82,no,0.5727,79.03,0.267,2.43,1.69,0.2755102040816326,4.774647887323944,BRA2,Testing,2024,0.9517624952318796,0.9329621908027692,0.942
17,Michael,Botafogo SP,Botafogo SP,GK,GK,0,29,200000,2024-11-30,8,809,Brazil,Brazil,left,194,85,no,0.11,62.16,-0.429,0.89,2.0,-0.3805309734513276,2.641025641025641,BRA2,Testing,2024,0.01306413898717593,0.02875204903873534,0.021
18,Caíque França,Sport Recife,Sport Recife,GK,GK,0,29,450000,2027-12-31,33,3269,Brazil,Brazil,left,186,80,no,0.41,74.17,-0.005,1.54,1.05,0.0,3.882352941176471,BRA2,Testing,2024,0.6134627224171286,0.594077740649586,0.604
19,Elias,América Mineiro,América Mineiro,GK,GK,0,29,100000,2024-11-30,19,1920,Brazil,Brazil,right,187,74,yes,0.42,76.81,0.203,1.08,1.27,0.2105263157894737,4.306666666666667,BRA2,Testing,2024,0.7145027138650935,0.7008222007253957,0.708
20,Dalberson,América Mineiro,América Mineiro,GK,GK,0,27,300000,2025-12-31,15,1520,Brazil,Brazil,left,191,85,no,0.3,71.7,0.038,1.24,1.24,0.04301075268817212,3.52808988764045,BRA2,Testing,2024,0.4858537211447339,0.4744388804830255,0.48
21,Matheus Nogueira,Paysandu,Paysandu,GK,GK,0,27,100000,2026-06-30,15,1529,Brazil,Brazil,right,191,86,yes,0.292863,76.92,0.098,1.77,2.24,0.1020408163265306,4.352272727272728,BRA2,Testing,2024,0.6796706923182454,0.7059726224218444,0.693
22,Pedro Rocha,Ponte Preta,Ponte Preta,GK,GK,0,26,300000,2026-12-31,29,2953,Brazil,Brazil,right,196,93,no,0.368,68.75,-0.095,2.01,1.55,-0.08928571428571419,3.19672131147541,BRA2,Testing,2024,0.5029132297350076,0.4795070286720842,0.491
23,Dênis Júnior,Vila Nova,Vila Nova,GK,GK,0,26,1000000,2026-12-31,32,3248,Brazil,Brazil,right,188,87,no,0.276912,73.2,-0.021,1.25,1.52,-0.01785714285714257,3.719298245614036,BRA2,Testing,2024,0.4819894663873917,0.4713251126541845,0.477
24,Pedro Morisco,Coritiba U20,Coritiba,GK,GK,0,20,0,,34,3426,Brazil,Brazil,right,190,84,no,0.660746,76.76,0.044,1.87,1.42,0.04395604395604402,4.287356321839081,BRA2,Testing,2024,0.8609601892792438,0.9010272707878948,0.881
25,Gabriel Brazão,Santos,Santos,GK,GK,0,24,300000,2026-12-31,27,2723,Brazil,Brazil,right,192,85,no,0.36,79.31,0.259,1.22,0.66,0.2476190476190476,4.848101265822785,BRA2,Testing,2024,0.724006399822253,0.7115130005151369,0.718
