Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Aéreos_Ganhos,Duelos_Ofensivos_Ganhos,xG,Conversão_Gols,Conversão_xG,Ameaça_Ofensiva,xA,Deep_Completions,Passes_Chave,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Vágner Love,Avaí,Avaí,CF,CF,12,40,150000,2025-05-31,20,1370,Brazil,Brazil,right,172,72,no,1.445688,2.102176,0.18,9.524,0.7222222222222223,0.1304347826086956,0.15,0.92,0.33,1.179,BRA2,Testing,2024,0.4725987947913899,0.4558610013535608,0.4642298980724753
1,Willian,Santos,Santos,"CF, RAMF",CF,12,37,250000,2024-12-31,26,1092,Brazil,Brazil,right,171,78,no,0.411413,1.56718,0.3,21.739,1.366666666666667,0.1578947368421053,0.04,0.49,0.08,0.4971179999999999,BRA2,Testing,2024,0.5545034325432209,0.5337948938873333,0.5441491632152771
2,Anselmo Ramon,CRB,CRB,CF,CF,12,36,150000,2025-12-31,34,3017,Brazil,Brazil,right,182,77,no,1.431524,2.477472,0.27,19.231,1.111111111111111,0.1741935483870968,0.06,0.81,0.39,0.8055,BRA2,Testing,2024,0.7327280541683274,0.728184513276221,0.7304562837222741
3,Thiago Galhardo,Goiás,Goiás,"CF, LW",CF,12,35,800000,2025-12-31,23,1818,Brazil,"Brazil, Italy",right,183,77,yes,0.59361,2.722818,0.33,12.195,0.7575757575757576,0.1625615763546798,0.1,0.69,0.25,0.641954,BRA2,Testing,2024,0.5410854171238392,0.5262655051710404,0.5336754611474397
4,Leandro Damião,,Coritiba,CF,CF,12,35,600000,,12,826,Brazil,Brazil,right,188,90,no,2.179782,1.198119,0.23,12.5,0.4782608695652174,0.264367816091954,0.06,1.2,0.33,0.6525,BRA2,Testing,2024,0.6292039699037059,0.5666245338966795,0.5979142519001927
5,Julio Furch,Santos,Santos,CF,CF,12,35,700000,2025-06-30,25,1250,Argentina,Argentina,right,188,88,no,4.32188,2.01705,0.33,12.5,0.6666666666666666,0.1907514450867052,0.07,0.79,0.58,0.288,BRA2,Testing,2024,0.8338641148225118,0.8074343552210644,0.820649235021788
6,Nicolas,Paysandu,Paysandu,CF,CF,12,35,250000,2024-11-30,27,2240,Brazil,Brazil,right,180,77,no,3.01269,2.128959,0.24,8.824,0.5,0.1751824817518248,0.02,0.64,0.08,0.240016,BRA2,Testing,2024,0.6260627484542131,0.6306278204023372,0.6283452844282751
7,Lucca,Grêmio Novorizontino,Grêmio Novorizontino,CF,CF,12,34,300000,2024-11-30,24,1114,Brazil,Brazil,right,178,72,no,1.534998,2.504172,0.31,17.857,1.290322580645161,0.1371681415929204,0.01,0.16,0.0,0.24,BRA2,Testing,2024,0.6690429668708373,0.689397930769769,0.6792204488203031
8,Guilherme Queiróz,Brusque,Brusque,CF,CF,12,34,100000,2024-12-31,21,1331,Brazil,Brazil,right,179,75,no,0.6763290000000001,1.689146,0.14,10.526,1.0,0.109375,0.01,0.47,0.14,0.33633,BRA2,Testing,2024,0.3072764869272875,0.3074079101111131,0.3073421985192003
9,D. Torres,Amazonas,Amazonas,"CF, AMF, LCMF",CF,12,33,100000,2024-12-31,29,1944,Argentina,Argentina,left,174,70,no,0.508824,1.06533,0.1,3.226,0.5,0.06944444444444445,0.21,0.97,0.19,1.155648,BRA2,Testing,2024,0.0,0.0,0.0
10,Rafael Tavares,Amazonas,Amazonas,"CF, AMF",CF,12,33,100000,2024-12-31,25,1342,Brazil,Brazil,left,175,73,no,1.409262,3.019455,0.09,3.333,0.7777777777777779,0.04477611940298508,0.05,1.41,0.13,1.275815,BRA2,Testing,2024,0.3492855466945987,0.3605031264290725,0.3548943365618356
11,Ronaldo,Operário PR,Operário PR,CF,CF,12,33,350000,2024-12-31,16,944,Brazil,Brazil,right,185,80,no,1.93187,2.034921,0.27,7.143,0.3703703703703703,0.1901408450704226,0.02,0.41,0.1,0.408,BRA2,Testing,2024,0.4832274625399358,0.4816108961871121,0.4824191793635239
12,Henrique Almeida,Vila Nova,Vila Nova,CF,CF,12,33,300000,2024-12-31,31,1975,Brazil,Brazil,right,177,77,no,0.637991,2.551976,0.25,15.385,1.08,0.1404494382022472,0.04,0.32,0.09,0.319515,BRA2,Testing,2024,0.5611047179836645,0.5561225813365854,0.5586136496601248
13,Robson,Coritiba,Coritiba,"CF, LW, LAMF",CF,12,33,900000,2024-12-31,20,1362,Brazil,Brazil,right,179,76,no,1.914395,3.369976,0.32,7.692,0.625,0.124031007751938,0.07,0.86,0.2,1.057672,BRA2,Testing,2024,0.6350552202098693,0.6141700604681467,0.624612640339008
14,Aylon,Ceará,Ceará,"CF, RW",CF,12,32,350000,2024-12-31,32,2535,Brazil,Brazil,right,180,75,no,2.059897,1.881875,0.36,14.754,0.888888888888889,0.1658986175115207,0.08,0.36,0.36,0.46,BRA2,Testing,2024,0.6548507234271724,0.6403838408186345,0.6476172821229034
15,Dellatorre,Mirassol,Mirassol,CF,CF,12,32,450000,2024-11-30,30,2480,Brazil,"Brazil, Italy",right,181,79,no,1.31776,1.654109,0.45,12.698,0.6444444444444444,0.189873417721519,0.03,0.38,0.15,0.411338,BRA2,Testing,2024,0.5176152109869976,0.5159376302989631,0.5167764206429803
16,J. Recalde,Ceará,Ceará,"CF, AMF",CF,12,32,600000,2025-12-31,26,1210,Paraguay,Paraguay,right,178,83,no,2.900076,2.603125,0.18,13.793,1.666666666666667,0.08333333333333333,0.07,0.67,0.07,1.117152,BRA2,Testing,2024,0.8232659712014968,0.7427643113300441,0.7830151412657703
17,Rodolfo,Grêmio Novorizontino,Grêmio Novorizontino,CF,CF,12,32,600000,2024-11-30,26,1633,Brazil,Brazil,right,175,75,no,1.10142,3.25134,0.38,13.158,0.736842105263158,0.1818181818181818,0.05,0.55,0.17,0.882336,BRA2,Testing,2024,0.681491160484357,0.6728950509258703,0.6771931057051136
18,Luan Silva,Amazonas,Amazonas,CF,CF,12,32,150000,2024-12-31,13,873,Brazil,Brazil,,0,0,no,1.856262,1.649453,0.38,26.316,1.368421052631579,0.1938775510204082,0.03,0.21,0.31,0.206677,BRA2,Testing,2024,0.7146753800560957,0.7003993465404832,0.7075373632982893
19,Hygor,Avaí,Avaí,"CF, RW",CF,12,32,150000,2025-12-31,20,1256,Brazil,Brazil,right,186,78,no,2.29362,2.579312,0.43,18.182,0.6744186046511628,0.2721518987341772,0.04,0.43,0.29,0.216,BRA2,Testing,2024,0.8678403825073174,0.8046749306054028,0.83625765655636
20,Salatiel,Ituano,Ituano,CF,CF,12,32,250000,2024-11-30,16,796,Brazil,Brazil,right,187,76,no,1.696416,3.053352,0.2,12.5,0.5499999999999999,0.2222222222222222,0.24,0.57,0.34,0.452,BRA2,Testing,2024,0.6955670911619418,0.6719426259086696,0.6837548585353057
21,Osman,Brusque,Brusque,"CF, LW",CF,12,31,200000,2025-11-30,18,733,Brazil,Brazil,right,179,72,no,5.400912,1.965337,0.17,0.0,0.0,0.1259259259259259,0.05,0.25,0.12,0.122894,BRA2,Testing,2024,0.6862541972971833,0.6354424572318875,0.6608483272645354
22,Caio Dantas,Guarani,Guarani,CF,CF,12,31,300000,2024-12-31,31,2718,Brazil,Brazil,right,177,72,no,1.357551,4.173222000000001,0.37,21.569,0.9729729729729729,0.2189349112426036,0.03,0.43,0.1,0.365,BRA2,Testing,2024,0.8030126480056724,0.8197251706431788,0.8113689093244255
23,F. Barceló,Ceará,Ceará,CF,CF,12,31,600000,2024-12-31,23,972,Uruguay,"Uruguay, Italy",right,180,75,no,3.056718,0.8326109999999999,0.3,26.316,1.533333333333333,0.1704545454545454,0.0,0.09,0.0,0.185705,BRA2,Testing,2024,0.7656429875491859,0.7636622252201024,0.764652606384644
24,Zé Roberto,Sport Recife,Sport Recife,"CF, AMF",CF,12,31,1000000,2024-12-31,27,1315,Brazil,Brazil,right,184,85,no,3.697001,4.652431999999999,0.33,24.138,1.454545454545454,0.1666666666666667,0.1,1.78,0.55,1.1628,BRA2,Testing,2024,1.0,1.0,1.0
25,Júnior Todinho,Vila Nova,Vila Nova,"CF, RW, RAMF",CF,12,30,0,2024-12-31,23,1621,Brazil,Brazil,left,182,72,no,2.332715,3.054562,0.23,21.429,1.434782608695652,0.1483870967741935,0.07,1.44,0.44,1.332,BRA2,Testing,2024,0.9087275153153104,0.9092311388934772,0.9089793271043937
26,Sassá,Amazonas,Amazonas,CF,CF,12,30,500000,2024-12-31,23,1357,Brazil,Brazil,right,174,73,no,0.796943,1.791548,0.27,10.345,0.7407407407407407,0.140625,0.05,0.13,0.07,0.265,BRA2,Testing,2024,0.3700877870417345,0.3787336279324977,0.374410707487116
27,Brenner,América Mineiro,América Mineiro,CF,CF,12,30,400000,2024-12-31,21,1144,Brazil,Brazil,right,182,81,no,1.888,3.697351,0.47,26.087,1.0,0.2596685082872928,0.05,1.34,0.16,0.945,BRA2,Testing,2024,0.8200687956471958,0.8574303893855247,0.8387495925163602
28,Giovanni,Avaí,Avaí,"CF, AMF",CF,12,30,500000,2024-12-31,32,2486,Brazil,"Brazil, Italy",right,174,75,no,0.469308,2.57086,0.15,5.797,0.9333333333333335,0.06,0.14,0.94,0.47,1.051192,BRA2,Testing,2024,0.2641633500645833,0.2601794804543458,0.2621714152594645
29,Alex Sandro,Botafogo SP,Botafogo SP,"CF, LW",CF,12,29,700000,2024-12-31,21,1313,Brazil,Brazil,left,175,74,no,0.9599519999999999,3.429259,0.37,10.345,0.3783783783783784,0.185929648241206,0.06,0.27,0.14,0.6869839999999999,BRA2,Testing,2024,0.6402060074912832,0.6104816076602892,0.6253438075757862
30,Mário Sérgio,Chapecoense,Chapecoense,CF,CF,12,29,100000,2026-12-31,27,2030,Brazil,Brazil,left,181,70,no,2.570871,1.862432,0.45,14.894,0.6888888888888889,0.2163461538461539,0.02,0.13,0.18,0.045,BRA2,Testing,2024,0.7317917447260803,0.724513410851224,0.7281525777886522
31,Eduardo Person,Ituano,Ituano,"CF, AMF, LCMF",CF,12,27,300000,2024-12-31,13,763,Brazil,Brazil,right,174,72,no,0.3525,3.655608,0.18,6.667,0.6666666666666666,0.1016949152542373,0.2,1.18,0.71,1.180976,BRA2,Testing,2024,0.475866986626114,0.4647716858646542,0.4703193362453841
32,A. González,Brusque,Brusque,"CF, AMF, RW",CF,12,27,350000,2026-06-30,10,762,Uruguay,Uruguay,left,174,65,yes,0.354,4.726104000000001,0.05,0.0,0.0,0.03030303030303031,0.11,1.3,0.12,1.4183,BRA2,Testing,2024,0.3357838461404968,0.1936923560841905,0.2647381011123436
33,Jhemerson,Brusque,Brusque,"CF, RCMF, LCMF",CF,12,27,100000,2024-12-31,15,794,Brazil,Brazil,right,174,66,no,0.567613,3.060204,0.09,0.0,0.0,0.05294117647058823,0.06,0.79,0.0,1.36,BRA2,Testing,2024,0.1420163662091525,0.05842218271823912,0.1002192744636958
34,Saulo Mineiro,Ceará,Ceará,"CF, RW, RAMF",CF,12,27,350000,2026-12-31,27,2195,Brazil,Brazil,right,184,85,no,2.007842,3.321891999999999,0.37,10.448,0.7837837837837838,0.1345454545454546,0.13,0.49,0.45,0.532638,BRA2,Testing,2024,0.6812119564214751,0.682649712900376,0.6819308346609255
35,Luan Dias,Guarani,Guarani,"CF, AMF, RW",CF,12,27,600000,2025-06-30,25,1988,Brazil,Brazil,left,178,74,yes,0.180975,5.388494999999999,0.15,2.632,0.3333333333333334,0.0872093023255814,0.12,0.68,0.32,1.042068,BRA2,Testing,2024,0.5459044730536969,0.5612819331088084,0.5535932030812526
36,Thonny Anderson,Ituano,Ituano,CF,CF,12,26,500000,2024-12-31,24,2077,Brazil,Brazil,right,184,81,yes,2.338672,5.762379999999999,0.31,9.434,0.7096774193548387,0.1347826086956522,0.07,0.61,0.3,0.6499349999999999,BRA2,Testing,2024,0.728346646082106,0.7094539674883347,0.7189003067852202
37,Matheus Frizzo,Coritiba,Coritiba,"CF, AMF, LAMF",CF,12,26,1200000,2024-12-31,29,2206,Brazil,Brazil,left,182,71,yes,0.6540310000000001,2.85516,0.26,17.241,1.576923076923077,0.109704641350211,0.09,0.73,0.2,0.9384,BRA2,Testing,2024,0.6430775651530234,0.6146995056739762,0.6288885354134998
38,Gustavo Coutinho,Sport Recife,Sport Recife,CF,CF,12,25,1800000,2027-12-31,32,2277,Brazil,Brazil,right,186,78,no,2.292815,2.1357,0.4,13.462,0.7000000000000001,0.1941747572815534,0.07,0.47,0.24,0.273652,BRA2,Testing,2024,0.7184501552298719,0.6933761224146581,0.7059131388222649
39,Breno Herculano,Goiás,Goiás,CF,CF,12,25,0,,18,892,Brazil,Brazil,right,189,89,no,4.01384,1.5625,0.41,19.048,1.219512195121951,0.1752136752136752,0.01,0.22,0.11,0.336,BRA2,Testing,2024,0.9069687883661698,0.8858052199064798,0.8963870041363247
40,Gabriel Novaes,Ponte Preta,Ponte Preta,"CF, LAMF, LWF",CF,12,25,1200000,2024-12-31,23,1919,Brazil,Brazil,right,183,83,no,1.517705,3.426897,0.28,11.628,1.0,0.1333333333333333,0.1,0.93,0.49,0.7861409999999998,BRA2,Testing,2024,0.6893364574132854,0.6683072886523874,0.6788218730328364
41,Júnior Brumado,Coritiba,Coritiba,CF,CF,12,25,800000,2026-12-31,15,1029,Brazil,Brazil,right,190,88,yes,3.759828000000001,3.93514,0.32,23.81,1.375,0.1739130434782609,0.04,0.44,0.26,0.264,BRA2,Testing,2024,0.9732051076700118,0.9380960424439401,0.9556505750569758
42,Jeh,Ponte Preta,Ponte Preta,CF,CF,12,24,0,,18,1638,Brazil,Brazil,right,185,77,no,1.930314,5.560856,0.4,12.281,0.95,0.1197604790419162,0.09,0.59,0.53,0.35,BRA2,Testing,2024,0.7321473697074244,0.7078097228231012,0.7199785462652628
43,Daniel Lima,Operário PR,Operário PR,CF,CF,12,19,0,,25,1338,Brazil,Brazil,right,186,77,yes,1.248966,3.192657000000001,0.15,12.0,1.333333333333333,0.08670520231213873,0.09,0.69,0.21,0.416,BRA2,Testing,2024,0.6199042338718065,0.5965543019436522,0.6082292679077292
44,Renato Marques,América Mineiro,América Mineiro,CF,CF,12,20,0,,26,1408,Brazil,Brazil,right,180,71,no,2.299605,1.150791,0.28,9.091,0.9285714285714285,0.09964412811387902,0.04,0.58,0.13,0.5731769999999999,BRA2,Testing,2024,0.5052170962334003,0.4903477940886646,0.4977824451610324
45,Ruan Ribeiro,Paysandu,Paysandu,"CF, RW",CF,12,21,0,,18,1021,Brazil,Brazil,right,178,71,yes,0.7931250000000002,1.586,0.13,18.182,1.384615384615385,0.134020618556701,0.08,0.44,0.18,0.08804400000000001,BRA2,Testing,2024,0.5170281483873584,0.4956171065464438,0.506322627466901
46,Alexandre Jesus,Botafogo SP,Botafogo SP,CF,CF,12,23,250000,2025-12-31,20,1677,Brazil,Brazil,right,184,82,no,2.360059,1.71769,0.26,17.241,1.038461538461539,0.1666666666666667,0.03,0.64,0.16,0.3225,BRA2,Testing,2024,0.7552388219766287,0.7081244887804378,0.7316816553785331
47,W. Silva,Santos,Santos,CF,CF,12,24,1200000,2026-06-30,12,1019,Brazil,Brazil,right,180,74,yes,1.324032,1.85436,0.14,14.286,1.285714285714286,0.1129032258064516,0.15,1.06,0.44,0.7040000000000001,BRA2,Testing,2024,0.5453909174621449,0.5149498600946136,0.5301703887783792
48,Rodrigo Farofa,Operário PR,Operário PR,"CF, AMF, LWF",CF,12,24,300000,2025-12-31,24,1916,Brazil,Brazil,right,178,78,no,0.523995,3.0481,0.11,4.082,0.8181818181818181,0.04721030042918455,0.05,0.38,0.48,0.6174810000000001,BRA2,Testing,2024,0.2742692169524587,0.2781975377221441,0.2762333773373014
