Atleta,Equipe,Código_Posição_Wyscout,Pé,Liga,Versão_Temporada,Posição,Posição2
Elias,América Mineiro,0,right,BRA2,2024,Goleiro,Goleiro
Lucas Hipólito,Operário PR,1,left,BRA2,2024,Lateral Esquerdo,Lateral
Ianson,Brusque,4,right,BRA2,2024,Zagueiro,Zagueiro
Lucas Dias,Muharraq,4,right,BRA2,2024,Zagueiro,Zagueiro
Alex Sandro,Botafogo SP,12,left,BRA2,2024,Atacante,Atacante
Pará,Operário PR,1,left,BRA2,2024,Lateral Esquerdo,Lateral
Mário Sérgio,Chapecoense,12,left,BRA2,2024,Atacante,Atacante
Renan Castro,Amazonas,1,left,BRA2,2024,Lateral Esquerdo,Lateral
Victor Andrade,Botafogo SP,10,right,BRA2,2024,Extremo,Extremo
Hayner,Santos,1,right,BRA2,2024,Lateral Direito,Lateral
Dieguinho,Goiás,1,right,BRA2,2024,Lateral Direito,Lateral
G. Risso,Ponte Preta,1,left,BRA2,2024,Lateral Esquerdo,Lateral
Willian Maranhão,Avaí,8,left,BRA2,2024,Segundo Volante,Segundo Volante
Benevenuto,Coritiba,4,right,BRA2,2024,Zagueiro,Zagueiro
Rômulo,CRB,7,right,BRA2,2024,Primeiro Volante,Primeiro Volante
Erick Varão,Amazonas,8,right,BRA2,2024,Segundo Volante,Segundo Volante
F. Labandeira,CRB,10,right,BRA2,2024,Extremo,Extremo
Matheus Trindade,Paysandu,8,right,BRA2,2024,Segundo Volante,Segundo Volante
Boschilia,Operário PR,8,left,BRA2,2024,Segundo Volante,Segundo Volante
Zé Ricardo,Avaí,8,right,BRA2,2024,Segundo Volante,Segundo Volante
Lucão,América Mineiro,4,right,BRA2,2024,Zagueiro,Zagueiro
Y. Quintana,Paysandu,4,right,BRA2,2024,Zagueiro,Zagueiro
Marcinho,Ituano,1,right,BRA2,2024,Lateral Direito,Lateral
Bruno Leonardo,Chapecoense,4,right,BRA2,2024,Zagueiro,Zagueiro
S. Gómez,Coritiba,8,left,BRA2,2024,Segundo Volante,Segundo Volante
Gustavo Bochecha,Botafogo SP,8,left,BRA2,2024,Segundo Volante,Segundo Volante
Bryan,Paysandu,1,right,BRA2,2024,Lateral Direito,Lateral
Sávio,Operário PR,1,right,BRA2,2024,Lateral Direito,Lateral
Neto Moura,Mirassol,7,right,BRA2,2024,Primeiro Volante,Primeiro Volante
Fabio Alemão,CRB,4,right,BRA2,2024,Zagueiro,Zagueiro
Willian Machado,Operário PR,4,left,BRA2,2024,Zagueiro,Zagueiro
Bruno Xavier,Ituano,11,right,BRA2,2024,Extremo,Extremo
Jefferson,Guarani,1,left,BRA2,2024,Lateral Esquerdo,Lateral
Eduardo,Grêmio Novorizontino,8,right,BRA2,2024,Segundo Volante,Segundo Volante
Felipinho,Sport Recife,1,left,BRA2,2024,Lateral Esquerdo,Lateral
Dalberson,América Mineiro,0,left,BRA2,2024,Goleiro,Goleiro
Eduardo Person,Ituano,12,right,BRA2,2024,Atacante,Atacante
A. González,Brusque,12,left,BRA2,2024,Atacante,Atacante
Jhemerson,Brusque,12,right,BRA2,2024,Atacante,Atacante
Reverson,Grêmio Novorizontino,1,left,BRA2,2024,Lateral Esquerdo,Lateral
Ronald,Operário PR,10,left,BRA2,2024,Extremo,Extremo
Gabriel Bispo,Guarani,8,right,BRA2,2024,Segundo Volante,Segundo Volante
Val Soares,Paysandu,7,right,BRA2,2024,Primeiro Volante,Primeiro Volante
Maurício Garcez,Avaí,10,right,BRA2,2024,Extremo,Extremo
Gonzalo Escobar,Santos,1,left,BRA2,2024,Lateral Esquerdo,Lateral
Fabrício Daniel,Grêmio Novorizontino,10,left,BRA2,2024,Extremo,Extremo
Marcos Vinicius,Avaí,1,right,BRA2,2024,Lateral Direito,Lateral
Isaque,Mirassol,9,right,BRA2,2024,Meia,Meia
Dentinho,Brusque,10,left,BRA2,2024,Extremo,Extremo
Ramon,Ponte Preta,8,left,BRA2,2024,Segundo Volante,Segundo Volante
Patrick Brey,Botafogo SP,1,left,BRA2,2024,Lateral Esquerdo,Lateral
Wálber,Nam Dinh,4,right,BRA2,2024,Zagueiro,Zagueiro
Saulo Mineiro,Ceará,12,right,BRA2,2024,Atacante,Atacante
João Paulo,Chapecoense,4,left,BRA2,2024,Zagueiro,Zagueiro
Jacy,Operário PR,7,right,BRA2,2024,Primeiro Volante,Primeiro Volante
Fernandinho,Mirassol,10,right,BRA2,2024,Extremo,Extremo
Luan Dias,Guarani,12,left,BRA2,2024,Atacante,Atacante
João Victor,Mirassol,4,right,BRA2,2024,Zagueiro,Zagueiro
Lourenço,Ceará,7,right,BRA2,2024,Primeiro Volante,Primeiro Volante
Marlon,Guarani,10,right,BRA2,2024,Extremo,Extremo
Matheus Nogueira,Paysandu,0,right,BRA2,2024,Goleiro,Goleiro
L. Segovia,CRB,4,left,BRA2,2024,Zagueiro,Zagueiro
Everton Morelli,Coritiba,8,right,BRA2,2024,Segundo Volante,Segundo Volante
João Vieira,Paysandu,7,right,BRA2,2024,Primeiro Volante,Primeiro Volante
B. Borasi,Paysandu,10,right,BRA2,2024,Extremo,Extremo
Mateus Pivô,Brusque,1,right,BRA2,2024,Lateral Direito,Lateral
Netinho,Paysandu,7,right,BRA2,2024,Primeiro Volante,Primeiro Volante
Thonny Anderson,Ituano,12,right,BRA2,2024,Atacante,Atacante
Kevyn,Paysandu,1,left,BRA2,2024,Lateral Esquerdo,Lateral
Luiz Felipe,Ponte Preta,1,right,BRA2,2024,Lateral Direito,Lateral
João Vitor,Vila Nova,1,right,BRA2,2024,Lateral Direito,Lateral
Falcão,CRB,7,right,BRA2,2024,Primeiro Volante,Primeiro Volante
Igor Inocêncio,Ponte Preta,1,right,BRA2,2024,Lateral Direito,Lateral
Matheus Serafim,Amazonas,10,right,BRA2,2024,Extremo,Extremo
Maílton,Chapecoense,1,right,BRA2,2024,Lateral Direito,Lateral
Pedro Rocha,Ponte Preta,0,right,BRA2,2024,Goleiro,Goleiro
F. Domínguez,Sport Recife,8,right,BRA2,2024,Segundo Volante,Segundo Volante
Paulinho Bóia,Paysandu,10,right,BRA2,2024,Extremo,Extremo
Marcelinho,Chapecoense,1,right,BRA2,2024,Lateral Direito,Lateral
Paulinho,Brusque,7,unknown,BRA2,2024,Primeiro Volante,Primeiro Volante
Matheus Frizzo,Coritiba,12,left,BRA2,2024,Atacante,Atacante
José Aldo,Ituano,8,right,BRA2,2024,Segundo Volante,Segundo Volante
Matheus Bueno,Guarani,8,right,BRA2,2024,Segundo Volante,Segundo Volante
Dênis Júnior,Vila Nova,0,right,BRA2,2024,Goleiro,Goleiro
Eduardo Doma,Chapecoense,4,right,BRA2,2024,Zagueiro,Zagueiro
Jamerson,Coritiba,1,left,BRA2,2024,Lateral Esquerdo,Lateral
Chico,Sport Recife,4,left,BRA2,2024,Zagueiro,Zagueiro
Hereda,CRB,1,right,BRA2,2024,Lateral Direito,Lateral
Matheus Felipe,Ceará,4,right,BRA2,2024,Zagueiro,Zagueiro
Leozinho,Ituano,10,left,BRA2,2024,Extremo,Extremo
Léo Santos,Nacional,4,right,BRA2,2024,Zagueiro,Zagueiro
Joaquim,Tigres UANL,4,right,BRA2,2024,Zagueiro,Zagueiro
Lucas Ribeiro,Goiás,4,right,BRA2,2024,Zagueiro,Zagueiro
Gustavo Coutinho,Sport Recife,12,right,BRA2,2024,Atacante,Atacante
Zé Gabriel,Coritiba,8,right,BRA2,2024,Segundo Volante,Segundo Volante
Airton,Guarani,10,right,BRA2,2024,Extremo,Extremo
Juninho,Paysandu,9,right,BRA2,2024,Meia,Meia
Alesson,Vila Nova,10,right,BRA2,2024,Extremo,Extremo
Breno Herculano,Goiás,12,right,BRA2,2024,Atacante,Atacante
João Victor,Guarani,10,right,BRA2,2024,Extremo,Extremo
Geovane,Portimonense,8,left,BRA2,2024,Segundo Volante,Segundo Volante
Luiz Henrique,Goiás,1,left,BRA2,2024,Lateral Esquerdo,Lateral
Bernardo Schappo,Botafogo SP,4,left,BRA2,2024,Zagueiro,Zagueiro
Gabriel Novaes,Ponte Preta,12,right,BRA2,2024,Atacante,Atacante
Patrick,Grêmio Novorizontino,4,left,BRA2,2024,Zagueiro,Zagueiro
Kleiton,CRB,10,right,BRA2,2024,Extremo,Extremo
S. Abdulai,Botafogo SP,8,right,BRA2,2024,Segundo Volante,Segundo Volante
Ericson,Botafogo SP,4,right,BRA2,2024,Zagueiro,Zagueiro
Júnior Brumado,Coritiba,12,right,BRA2,2024,Atacante,Atacante
Rafael Carvalheira,Chapecoense,8,left,BRA2,2024,Segundo Volante,Segundo Volante
Diego Mathias,Brusque,10,left,BRA2,2024,Extremo,Extremo
Paulo Vitor,Portimonense,10,right,BRA2,2024,Extremo,Extremo
Vinicius Diniz,Operário PR,7,right,BRA2,2024,Primeiro Volante,Primeiro Volante
Paulo Baya,Goiás,10,right,BRA2,2024,Extremo,Extremo
Lucas Gazal,Mirassol,4,right,BRA2,2024,Zagueiro,Zagueiro
Matheus Bahia,Ceará,1,left,BRA2,2024,Lateral Esquerdo,Lateral
Matheus Régis,Ponte Preta,10,right,BRA2,2024,Extremo,Extremo
João Pedro,CRB,7,right,BRA2,2024,Primeiro Volante,Primeiro Volante
Warley,Torpedo Kutaisi,1,right,BRA2,2024,Lateral Direito,Lateral
Gustavo Henrique,CRB,4,right,BRA2,2024,Zagueiro,Zagueiro
Jeh,Ponte Preta,12,right,BRA2,2024,Atacante,Atacante
João Pedro Chermont,Santos U20,1,right,BRA2,2024,Lateral Direito,Lateral
Adyson,América Mineiro,10,left,BRA2,2024,Extremo,Extremo
Jair,Santos U20,4,right,BRA2,2024,Zagueiro,Zagueiro
João Costa,Botafogo SP U20,7,right,BRA2,2024,Primeiro Volante,Primeiro Volante
João Gabriel,Ponte Preta U23,1,unknown,BRA2,2024,Erro,Erro
Richard,Ituano,1,left,BRA2,2024,Lateral Esquerdo,Lateral
Daniel Lima,Operário PR,12,right,BRA2,2024,Atacante,Atacante
Lucas Ronier,Coritiba U20,10,left,BRA2,2024,Extremo,Extremo
Cauan Barros,Amazonas,8,right,BRA2,2024,Segundo Volante,Segundo Volante
Pedro Morisco,Coritiba U20,0,right,BRA2,2024,Goleiro,Goleiro
Renato Marques,América Mineiro,12,right,BRA2,2024,Atacante,Atacante
Rodrigo Gelado,Coritiba,1,left,BRA2,2024,Lateral Esquerdo,Lateral
Luisão,Grêmio Novorizontino U20,4,right,BRA2,2024,Zagueiro,Zagueiro
Ruan Ribeiro,Paysandu,12,right,BRA2,2024,Atacante,Atacante
Felipe Amaral,América Mineiro,7,right,BRA2,2024,Primeiro Volante,Primeiro Volante
Rodriguinho,América Mineiro,10,right,BRA2,2024,Extremo,Extremo
David Ricardo,Ceará,4,left,BRA2,2024,Zagueiro,Zagueiro
Mateus Henrique,América Mineiro,1,right,BRA2,2024,Lateral Direito,Lateral
Pedro Lucas,Operário PR,10,left,BRA2,2024,Extremo,Extremo
Ryan,CRB,1,left,BRA2,2024,Lateral Esquerdo,Lateral
S. Ocampos,Operário PR,1,right,BRA2,2024,Lateral Direito,Lateral
Thalisson,Coritiba,4,right,BRA2,2024,Zagueiro,Zagueiro
Natanael,Coritiba,1,right,BRA2,2024,Lateral Direito,Lateral
Léo Oliveira,Ituano,1,right,BRA2,2024,Lateral Direito,Lateral
Alexandre Jesus,Botafogo SP,12,right,BRA2,2024,Atacante,Atacante
Figueiredo,Coritiba,10,right,BRA2,2024,Extremo,Extremo
Miquéias,Ituano,8,right,BRA2,2024,Segundo Volante,Segundo Volante
Wallison,Botafogo SP,1,right,BRA2,2024,Lateral Direito,Lateral
Chrystian Barletta,Sport Recife,10,left,BRA2,2024,Extremo,Extremo
Habraão,Santa Clara,4,right,BRA2,2024,Zagueiro,Zagueiro
Dodô,Ponte Preta,11,right,BRA2,2024,Extremo,Extremo
Reinaldo,Guarani,10,right,BRA2,2024,Extremo,Extremo
Emerson Urso,Vila Nova,10,right,BRA2,2024,Extremo,Extremo
JP Galvão,Chapecoense,1,right,BRA2,2024,Lateral Direito,Lateral
J. Torres,Brusque,1,left,BRA2,2024,Lateral Esquerdo,Lateral
Vini Paulista,Coritiba,7,right,BRA2,2024,Primeiro Volante,Primeiro Volante
Carlão,Paysandu,4,right,BRA2,2024,Zagueiro,Zagueiro
Juan Christian,Alanyaspor,10,right,BRA2,2024,Extremo,Extremo
Enio,Amazonas,10,right,BRA2,2024,Extremo,Extremo
Vinícius Pavia,Ituano,10,right,BRA2,2024,Extremo,Extremo
Cristiano,Vila Nova,8,right,BRA2,2024,Segundo Volante,Segundo Volante
Mancha,Chapecoense,1,left,BRA2,2024,Lateral Esquerdo,Lateral
A. Alvariño,Amazonas,4,right,BRA2,2024,Zagueiro,Zagueiro
Juninho,Goiás,8,right,BRA2,2024,Segundo Volante,Segundo Volante
Emerson Negueba,Botafogo SP,1,right,BRA2,2024,Lateral Direito,Lateral
Heitor,Guarani,1,right,BRA2,2024,Lateral Direito,Lateral
Gabriel Brazão,Santos,0,right,BRA2,2024,Goleiro,Goleiro
Erick Pulga,Ceará,10,right,BRA2,2024,Extremo,Extremo
Rodrigo Santos,Avaí,8,,BRA2,2024,Segundo Volante,Segundo Volante
Rhuan,Vila Nova,1,left,BRA2,2024,Lateral Esquerdo,Lateral
Eric,Ceará,1,left,BRA2,2024,Lateral Esquerdo,Lateral
W. Silva,Santos,12,right,BRA2,2024,Atacante,Atacante
Lucas Adell,Guarani,4,left,BRA2,2024,Zagueiro,Zagueiro
E. Garcia,Paysandu,10,right,BRA2,2024,Extremo,Extremo
Welliton Matheus,Goiás,10,left,BRA2,2024,Extremo,Extremo
Léo Pereira,CRB,10,right,BRA2,2024,Extremo,Extremo
Rodrigo Farofa,Operário PR,12,right,BRA2,2024,Atacante,Atacante
Vilar,Avaí,4,right,BRA2,2024,Zagueiro,Zagueiro
Jemmes,Vila Nova,4,right,BRA2,2024,Zagueiro,Zagueiro
Patrick De Lucca,Ceará,8,right,BRA2,2024,Segundo Volante,Segundo Volante
Miranda,Amazonas,4,right,BRA2,2024,Zagueiro,Zagueiro
Elias,Vila Nova,1,right,BRA2,2024,Lateral Direito,Lateral
Guilherme Mariano,Ituano,4,,BRA2,2024,Zagueiro,Zagueiro
Negueba,Mirassol,10,right,BRA2,2024,Extremo,Extremo
Fabinho,América Mineiro,10,left,BRA2,2024,Extremo,Extremo
